"","year","state","event_type","fscale","total_economic_cost","lat","lng","casualties"
"1",1996,"AL","TORNADO",1,0.1,31.16,-86.08,0
"2",1996,"AL","TORNADO",1,0.1,31,-88.14,4
"3",1996,"AL","TORNADO",0,0.002,31.31,-87.2,0
"4",1996,"AL","TORNADO",1,0.12,32.33,-87.25,0
"5",1996,"AL","TORNADO",3,8.05,32.25,-87.14,44
"6",1996,"AL","TORNADO",1,1.25,32.23,-86.18,0
"7",1996,"AL","TORNADO",1,0.7,32.23,-86.18,0
"8",1996,"AL","TORNADO",1,0.8,32.23,-86.18,0
"9",1996,"AL","TORNADO",2,1.5,32.2,-86.08,19
"10",1996,"AL","TORNADO",0,0.075,33.31,-86.49,0
"11",1996,"AL","TORNADO",1,0.085,34.42,-85.48,2
"12",1996,"AL","TORNADO",0,0.005,31.34,-88.27,0
"13",1996,"AL","TORNADO",0,0.005,31.37,-88.18,0
"14",1996,"AL","TORNADO",1,0.05,31.42,-88.02,0
"15",1996,"AL","TORNADO",0,0.075,31.55,-87.44,1
"16",1996,"AL","TORNADO",1,1,31.28,-87.54,15
"17",1996,"AL","TORNADO",1,0.025,31.33,-87.42,0
"18",1996,"AL","TORNADO",1,0.13,32.09,-87.15,0
"19",1996,"AL","TORNADO",2,0.15,31.32,-87.27,5
"20",1996,"AL","TORNADO",1,0.55,32.49,-86.11,0
"21",1996,"AL","TORNADO",1,0,32.44,-86.05,0
"22",1996,"AL","TORNADO",1,0,32.48,-86.01,0
"23",1996,"AL","TORNADO",1,0.19,32.54,-85.48,0
"24",1996,"AL","TORNADO",2,0.125,32.09,-86.45,2
"25",1996,"AL","TORNADO",2,0,32.24,-86.51,0
"26",1996,"AL","TORNADO",1,0.15,32.3,-86.13,0
"27",1996,"AL","TORNADO",3,0.75,32.39,-86.01,0
"28",1996,"AL","TORNADO",3,0,33.15,-85.55,0
"29",1996,"AL","TORNADO",1,0.2,33.08,-88.09,0
"30",1996,"AL","TORNADO",1,0.057,34.17,-87.17,0
"31",1996,"AL","TORNADO",0,0.03,34.15,-87.11,0
"32",1996,"AL","TORNADO",0,0.05,33.37,-85.35,0
"33",1996,"AL","TORNADO",2,0.35,34.3,-86.15,0
"34",1996,"AL","TORNADO",1,0.67,33.03,-86.18,2
"35",1996,"AL","TORNADO",1,0.07,31.53,-86.23,0
"36",1996,"AL","TORNADO",0,0.205,32.48,-86.41,0
"37",1996,"AL","TORNADO",0,0.082,32.59,-85.58,0
"38",1996,"AZ","TORNADO",0,0,35.39,-110.3,0
"39",1996,"AZ","TORNADO",0,0,36.44,-110.15,0
"40",1996,"AZ","TORNADO",1,0,33.21,-110.44,0
"41",1996,"AZ","TORNADO",0,0,32.17,-111,0
"42",1996,"AZ","TORNADO",1,0.28,34.44,-112.27,0
"43",1996,"AZ","TORNADO",0,0.01,35.16,-113.58,0
"44",1996,"AZ","TORNADO",0,0,35.12,-114.22,0
"45",1996,"AZ","TORNADO",0,0,35.12,-114.12,0
"46",1996,"AZ","TORNADO",1,0,35.01,-114.17,0
"47",1996,"AR","TORNADO",0,0.01,35.59,-91.04,0
"48",1996,"AR","TORNADO",1,0.05,35.05,-90.46,0
"49",1996,"AR","TORNADO",1,0.03,34.33,-90.58,3
"50",1996,"AR","TORNADO",0,0.05,35.35,-90.22,0
"51",1996,"AR","TORNADO",0,0,36.21,-92.28,0
"52",1996,"AR","TORNADO",0,0,33.16,-92.53,0
